Titulo,Orgao,Tipos de Atendimento,Solicitação pela Internet,Entidade,Secretaria,Tipo,Forma Solicitação,Tipo Sistema,Observações
IPTU: Certidão de Existência de Prédio,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
IPTU: Certidão de Medidas e Confrontantes,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
IPTU: Certidão de Numeração de Prédio,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
IPTU: Certidão de Perímetro Urbano,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
IPTU: Certidão de Valor Venal por Metro Quadrado,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
IPTU: Certidão Negativa de Cadastramento de Imóveis,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
IPTU: Certidão Positiva com Efeito Negativo,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
IPTU: Certidão Positiva com ou sem Valores,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
IPTU: Cópia da Planta da Quadra Fiscal,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
IPTU: Cópia da Planta do Setor Fiscal,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
IPTU: Desdobro ou Remembramento Fiscal,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
IPTU: Imunidade para Instituições de Educação ou Assistência Social sem Fins Lucrativos,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
IPTU: Imunidade para Templos de Qualquer Culto,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
IPTU: Imunidade/não Incidência de IPTU sobre imóveis locados utilizados como templo de qualquer culto,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
IPTU: Isenção para Aposentados e Pensionistas,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
IPTU: Isenção para Ex-combatentes,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
IPTU: Isenção para Imóveis de Baixo Padrão Construtivo,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
IPTU: Isenção para Produtor Rural,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
IPTU: Lançamento em Subunidades,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
IPTU: Lançamento em Subunidades de Condomínio,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
IPTU: Lançamento Predial,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
IPTU: Lançamento Territorial Conforme Demolição,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
IPTU: Reclamação contra Lançamento/Impugnação,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
IPTU: Redução de 30% para Imóveis com Obra em Andamento,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
IPTU: Redução para Imóveis com Mata Nativa Preservada,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
IPTU: Redução para Imóveis com Mata Preservada,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
IPTU: Redução por Sanção Premial,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
IPTU: Restituição de Valores,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
IPTU: Revisão de Área de Construção,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
IPTU: Revisão de Numeração de Prédio,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
IPTU: Revisão de Padrão Comercial para Residencial e Vice-Versa,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
IPTU: Revisão do Padrão de Construção,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
IPTU: Revisão do Valor Venal,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
IPTU: Revisão ou Retificação de Área Territorial,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
IPTU: Transferência de Valores / Pagamento,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
ITBI: Certidão de Imunidade para Entidades Religiosas,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
ITBI: Certidão de Imunidade para Instituições de Educação e Assistência Social sem Fins Lucrativos,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
ITBI: Certidão de Imunidade para Órgãos Governamentais,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
ITBI: Certidão de Imunidade para Partido Político ou Entidade Sindical,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
"ITBI: Certidão de Não-Incidência por Fusão, Incorporação, Cisão ou Extinção de Pessoa Jurídica",Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
ITBI: Certidão de Não-Incidência por Incorporação ao Patrimônio em Realização de Capital,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
ITBI: Inclusão em Dívida Ativa,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
ITBI: Restituição de Valores (Distrato),Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
ITBI: Restituição de Valores (Duplicidade),Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
ITBI: Revisão ou Cancelamento de Lançamento de ITBI para guias que ainda não foram pagas,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
"ITBI: Revisão de Lançamento do ITBI para guias pagas, com emissão de Certidão de Quitação",Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
Reemissão de Cheque,Secretaria de Finanças,Presencial,,Prefeitura,Finanças,Serviço,Presencial,Não tem (Presencial),
Calendário Administrativo,Secretaria de Gestão e Contratações Públicas,Presencial,,Prefeitura,Gestão e Contratações Públicas,Informação,Presencial,Não tem (Presencial),
Controle de Entrega de Uniforme e Equipamento de Proteção Individual (EPI),Secretaria de Gestão e Contratações Públicas,Presencial,,Prefeitura,Gestão e Contratações Públicas,Informação,Presencial,Não tem (Presencial),
Declaração de Bens e Valores,Secretaria de Gestão e Contratações Públicas,Presencial,,Prefeitura,Gestão e Contratações Públicas,Serviço,Presencial,Não tem (Presencial),
Escala de Pagamento,Secretaria de Gestão e Contratações Públicas,Presencial,,Prefeitura,Gestão e Contratações Públicas,Informação,Presencial,Não tem (Presencial),
Manual Eleitoral,Secretaria de Gestão e Contratações Públicas,Presencial,,Prefeitura,Gestão e Contratações Públicas,Informação,Presencial,Não tem (Presencial),
Redação Oficial Prefeitura de Mogi das Cruzes,Secretaria de Governo e Transparência,Presencial,,Prefeitura,Governo e Transparência,Informação,Presencial,Não tem (Presencial),
Carnê de Financiamento de Imóveis Municipais,Secretaria de Habitação Social e Regularização Fundiária,Presencial,,Prefeitura,Habitação Social e Regularização Fundiária,Serviço,Presencial,Não tem (Presencial),
Parcelas de Financiamento em Atraso,Secretaria de Habitação Social e Regularização Fundiária,Presencial,,Prefeitura,Habitação Social e Regularização Fundiária,Serviço,Presencial,Não tem (Presencial),
Planta da Casa Popular,Secretaria de Habitação Social e Regularização Fundiária,Presencial,,Prefeitura,Habitação Social e Regularização Fundiária,Serviço,Presencial,Não tem (Presencial),
Regularização de Conjuntos Habitacionais,Secretaria de Habitação Social e Regularização Fundiária,Presencial,,Prefeitura,Habitação Social e Regularização Fundiária,Serviço,Presencial,Não tem (Presencial),
Regularização de Núcleos Habitacionais de Interesse Social,Secretaria de Habitação Social e Regularização Fundiária,Presencial,,Prefeitura,Habitação Social e Regularização Fundiária,Serviço,Presencial,Não tem (Presencial),
Adoção de Cães e Gatos,Secretaria de Meio Ambiente e Proteção Animal,Presencial,,Prefeitura,Meio Ambiente e Proteção Animal,Serviço,Presencial,Não tem (Presencial),
Captura de Animais de Pequeno Porte,Secretaria de Meio Ambiente e Proteção Animal,Presencial,,Prefeitura,Meio Ambiente e Proteção Animal,Serviço,Presencial,Não tem (Presencial),
Cartilha de Arborização Urbana,Secretaria de Meio Ambiente e Proteção Animal,Presencial,,Prefeitura,Meio Ambiente e Proteção Animal,Informação,Presencial,Não tem (Presencial),
Doação de Mudas,Secretaria de Meio Ambiente e Proteção Animal,Presencial,,Prefeitura,Meio Ambiente e Proteção Animal,Serviço,Presencial,Não tem (Presencial),
Eutanásia de Animais de Pequeno Porte,Secretaria de Meio Ambiente e Proteção Animal,Presencial,,Prefeitura,Meio Ambiente e Proteção Animal,Serviço,Presencial,Não tem (Presencial),
Microchipagem de Cães e Gatos,Secretaria de Meio Ambiente e Proteção Animal,Presencial,,Prefeitura,Meio Ambiente e Proteção Animal,Serviço,Presencial,Não tem (Presencial),
Mogi Recicla + Óleo,Secretaria de Meio Ambiente e Proteção Animal,Presencial,,Prefeitura,Meio Ambiente e Proteção Animal,Informação,Presencial,Não tem (Presencial),
Recebimento de Materiais Inservíveis (Ecopontos),Secretaria de Meio Ambiente e Proteção Animal,Presencial,,Prefeitura,Meio Ambiente e Proteção Animal,Informação,Presencial,Não tem (Presencial),
Recolhimento de animais de rua sem tutor e em situação de risco,Secretaria de Meio Ambiente e Proteção Animal,Presencial,,Prefeitura,Meio Ambiente e Proteção Animal,Serviço,Presencial,Não tem (Presencial),
2ª Via do Cartão do Portador de Necessidades Especiais (CPNE),Secretaria de Mobilidade e Trânsito,Presencial,,Prefeitura,Mobilidade e Trânsito,Serviço,Presencial,Não tem (Presencial),
2ª Via do Cartão Sim Idosos (Cartão Conforto),Secretaria de Mobilidade e Trânsito,Presencial,,Prefeitura,Mobilidade e Trânsito,Serviço,Presencial,Não tem (Presencial),
Autorização para Uso de Espaço nos Terminais Central e Estudantes,Secretaria de Mobilidade e Trânsito,Presencial,,Prefeitura,Mobilidade e Trânsito,Serviço,Presencial,Não tem (Presencial),
Cadastro para Prestação de Serviço de Fretamento,Secretaria de Mobilidade e Trânsito,Presencial,,Prefeitura,Mobilidade e Trânsito,Serviço,Presencial,Não tem (Presencial),
Cadastro para Transporte Particular de Funcionários,Secretaria de Mobilidade e Trânsito,Presencial,,Prefeitura,Mobilidade e Trânsito,Serviço,Presencial,Não tem (Presencial),
Cartão de Estacionamento de Vagas para Pessoas com Deficiência,Secretaria de Mobilidade e Trânsito,Presencial,,Prefeitura,Mobilidade e Trânsito,Serviço,Presencial,Não tem (Presencial),
Cartão de Estacionamento para Vagas de Idoso,Secretaria de Mobilidade e Trânsito,Presencial,,Prefeitura,Mobilidade e Trânsito,Serviço,Presencial,Não tem (Presencial),
Cartão de Transporte Coletivo Avulso,Secretaria de Mobilidade e Trânsito,Presencial,,Prefeitura,Mobilidade e Trânsito,Serviço,Presencial,Não tem (Presencial),
Cartão de Transporte Coletivo PNE,Secretaria de Mobilidade e Trânsito,Presencial,,Prefeitura,Mobilidade e Trânsito,Serviço,Presencial,Não tem (Presencial),
Multas de Trânsito: Conversão de Penalidade em Advertência,Secretaria de Mobilidade e Trânsito,Presencial,,Prefeitura,Mobilidade e Trânsito,Serviço,Presencial,Não tem (Presencial),
Multas de Trânsito: Indicação do Condutor Infrator,Secretaria de Mobilidade e Trânsito,Presencial,,Prefeitura,Mobilidade e Trânsito,Serviço,Presencial,Não tem (Presencial),
Multas de Trânsito: Recurso de Multa em 1ª Instância,Secretaria de Mobilidade e Trânsito,Presencial,,Prefeitura,Mobilidade e Trânsito,Serviço,Presencial,Não tem (Presencial),
Multas de Trânsito: Recurso de Multa em 2ª Instância,Secretaria de Mobilidade e Trânsito,Presencial,,Prefeitura,Mobilidade e Trânsito,Serviço,Presencial,Não tem (Presencial),
"Multas de Trânsito: Recurso por Transporte Clandestino, Táxi e Transporte Escolar",Secretaria de Mobilidade e Trânsito,Presencial,,Prefeitura,Mobilidade e Trânsito,Serviço,Presencial,Não tem (Presencial),
Multas de Trânsito: Recurso por Transporte Irregular,Secretaria de Mobilidade e Trânsito,Presencial,,Prefeitura,Mobilidade e Trânsito,Serviço,Presencial,Não tem (Presencial),
Multas de Trânsito: Requerimento de Defesa da Autuação,Secretaria de Mobilidade e Trânsito,Presencial,,Prefeitura,Mobilidade e Trânsito,Serviço,Presencial,Não tem (Presencial),
Multas de Trânsito: Restituição de Multa Paga,Secretaria de Mobilidade e Trânsito,Presencial,,Prefeitura,Mobilidade e Trânsito,Serviço,Presencial,Não tem (Presencial),
Táxi: Cancelamento de Motorista Auxiliar,Secretaria de Mobilidade e Trânsito,Presencial,,Prefeitura,Mobilidade e Trânsito,Serviço,Presencial,Não tem (Presencial),
Táxi: Emissão de Certidões,Secretaria de Mobilidade e Trânsito,Presencial,,Prefeitura,Mobilidade e Trânsito,Serviço,Presencial,Não tem (Presencial),
Táxi: Inscrição de Motorista Auxiliar,Secretaria de Mobilidade e Trânsito,Presencial,,Prefeitura,Mobilidade e Trânsito,Serviço,Presencial,Não tem (Presencial),
Táxi: Reativação de Motorista Auxiliar,Secretaria de Mobilidade e Trânsito,Presencial,,Prefeitura,Mobilidade e Trânsito,Serviço,Presencial,Não tem (Presencial),
Táxi: Renovação de Alvará,Secretaria de Mobilidade e Trânsito,Presencial,,Prefeitura,Mobilidade e Trânsito,Serviço,Presencial,Não tem (Presencial),
Táxi: Substituição de Veículo,Secretaria de Mobilidade e Trânsito,Presencial,,Prefeitura,Mobilidade e Trânsito,Serviço,Presencial,Não tem (Presencial),
Táxi: Transferência de Motorista Auxiliar,Secretaria de Mobilidade e Trânsito,Presencial,,Prefeitura,Mobilidade e Trânsito,Serviço,Presencial,Não tem (Presencial),
Táxi: Transferência de Permissão,Secretaria de Mobilidade e Trânsito,Presencial,,Prefeitura,Mobilidade e Trânsito,Serviço,Presencial,Não tem (Presencial),
Trânsito: Autorização Especial de Trânsito,Secretaria de Mobilidade e Trânsito,Presencial,,Prefeitura,Mobilidade e Trânsito,Serviço,Presencial,Não tem (Presencial),
Trânsito: Autorização para Colocação de Caçamba,Secretaria de Mobilidade e Trânsito,Presencial,,Prefeitura,Mobilidade e Trânsito,Serviço,Presencial,Não tem (Presencial),
Trânsito: Autorização para Uso de Praças e Vias,Secretaria de Mobilidade e Trânsito,Presencial,,Prefeitura,Mobilidade e Trânsito,Serviço,Presencial,Não tem (Presencial),
Trânsito: Implantação de Lombada,Secretaria de Mobilidade e Trânsito,Presencial,,Prefeitura,Mobilidade e Trânsito,Serviço,Presencial,Não tem (Presencial),
Trânsito: Implantação de Semáforo,Secretaria de Mobilidade e Trânsito,Presencial,,Prefeitura,Mobilidade e Trânsito,Serviço,Presencial,Não tem (Presencial),
Trânsito: Implantação ou Alteração de Sinalização,Secretaria de Mobilidade e Trânsito,Presencial,,Prefeitura,Mobilidade e Trânsito,Serviço,Presencial,Não tem (Presencial),
Transporte Coletivo: Alteração de Horários de Ônibus,Secretaria de Mobilidade e Trânsito,Presencial,,Prefeitura,Mobilidade e Trânsito,Serviço,Presencial,Não tem (Presencial),
Transporte Coletivo: Alteração de Linhas de Ônibus,Secretaria de Mobilidade e Trânsito,Presencial,,Prefeitura,Mobilidade e Trânsito,Serviço,Presencial,Não tem (Presencial),
Transporte Coletivo: Alteração de Pontos de Ônibus,Secretaria de Mobilidade e Trânsito,Presencial,,Prefeitura,Mobilidade e Trânsito,Serviço,Presencial,Não tem (Presencial),
Transporte Escolar: Cadastramento de Motorista Reserva,Secretaria de Mobilidade e Trânsito,Presencial,,Prefeitura,Mobilidade e Trânsito,Serviço,Presencial,Não tem (Presencial),
Transporte Escolar: Cadastramento de Veículo Reserva,Secretaria de Mobilidade e Trânsito,Presencial,,Prefeitura,Mobilidade e Trânsito,Serviço,Presencial,Não tem (Presencial),
Transporte Escolar: Cancelamento de Permissão,Secretaria de Mobilidade e Trânsito,Presencial,,Prefeitura,Mobilidade e Trânsito,Serviço,Presencial,Não tem (Presencial),
Transporte Escolar: Emissão de Certidões,Secretaria de Mobilidade e Trânsito,Presencial,,Prefeitura,Mobilidade e Trânsito,Serviço,Presencial,Não tem (Presencial),
Transporte Escolar: Inscrição de Motorista,Secretaria de Mobilidade e Trânsito,Presencial,,Prefeitura,Mobilidade e Trânsito,Serviço,Presencial,Não tem (Presencial),
Transporte Escolar: Inscrição de Preposto,Secretaria de Mobilidade e Trânsito,Presencial,,Prefeitura,Mobilidade e Trânsito,Serviço,Presencial,Não tem (Presencial),
Transporte Escolar: Inscrição Sorteio de Vagas Sistema de Transporte Coletivo de Escolares,Secretaria de Mobilidade e Trânsito,Presencial,,Prefeitura,Mobilidade e Trânsito,Serviço,Presencial,Não tem (Presencial),
Transporte Escolar: Renovação de Alvará 1º Semestre,Secretaria de Mobilidade e Trânsito,Presencial,,Prefeitura,Mobilidade e Trânsito,Serviço,Presencial,Não tem (Presencial),
Transporte Escolar: Renovação de Alvará 2º Semestre,Secretaria de Mobilidade e Trânsito,Presencial,,Prefeitura,Mobilidade e Trânsito,Serviço,Presencial,Não tem (Presencial),
Transporte Escolar: Substituição de Veículos,Secretaria de Mobilidade e Trânsito,Presencial,,Prefeitura,Mobilidade e Trânsito,Serviço,Presencial,Não tem (Presencial),
Transporte Escolar: Suspensão de Alvará,Secretaria de Mobilidade e Trânsito,Presencial,,Prefeitura,Mobilidade e Trânsito,Serviço,Presencial,Não tem (Presencial),
Transporte Escolar: Transferência de Permissão,Secretaria de Mobilidade e Trânsito,Presencial,,Prefeitura,Mobilidade e Trânsito,Serviço,Presencial,Não tem (Presencial),
Transporte Remunerado de Carga: Cancelamento de Motorista Auxiliar,Secretaria de Mobilidade e Trânsito,Presencial,,Prefeitura,Mobilidade e Trânsito,Serviço,Presencial,Não tem (Presencial),
Transporte Remunerado de Carga: Cancelamento de Permissão/Certificação,Secretaria de Mobilidade e Trânsito,Presencial,,Prefeitura,Mobilidade e Trânsito,Serviço,Presencial,Não tem (Presencial),
Transporte Remunerado de Carga: Certificação e Renovação de Certificação,Secretaria de Mobilidade e Trânsito,Presencial,,Prefeitura,Mobilidade e Trânsito,Serviço,Presencial,Não tem (Presencial),
Transporte Remunerado de Carga: Inscrição de Motorista Auxiliar,Secretaria de Mobilidade e Trânsito,Presencial,,Prefeitura,Mobilidade e Trânsito,Serviço,Presencial,Não tem (Presencial),
Transporte Remunerado de Carga: Renovação de Alvará de Estacionamento,Secretaria de Mobilidade e Trânsito,Presencial,,Prefeitura,Mobilidade e Trânsito,Serviço,Presencial,Não tem (Presencial),
Transporte Remunerado de Carga: Substituição de Veículo,Secretaria de Mobilidade e Trânsito,Presencial,,Prefeitura,Mobilidade e Trânsito,Serviço,Presencial,Não tem (Presencial),
Transporte Remunerado de Carga: Transferência de Permissão,Secretaria de Mobilidade e Trânsito,Presencial,,Prefeitura,Mobilidade e Trânsito,Serviço,Presencial,Não tem (Presencial),
Aditivo de Prazo de Obra,Secretaria de Obras e Infraestrutura,Presencial,,Prefeitura,Obras e Infraestrutura,Serviço,Presencial,Não tem (Presencial),
Aditivo de Valor de Obra,Secretaria de Obras e Infraestrutura,Presencial,,Prefeitura,Obras e Infraestrutura,Serviço,Presencial,Não tem (Presencial),
Atestado de Capacidade Técnica de Obras,Secretaria de Obras e Infraestrutura,Presencial,,Prefeitura,Obras e Infraestrutura,Serviço,Presencial,Não tem (Presencial),
Certidão de Regularidade Técnica,Secretaria de Obras e Infraestrutura,Presencial,,Prefeitura,Obras e Infraestrutura,Serviço,Presencial,Não tem (Presencial),
Consumo de Energia sob Responsabilidade da Prefeitura,Secretaria de Obras e Infraestrutura,Presencial,,Prefeitura,Obras e Infraestrutura,Serviço,Presencial,Não tem (Presencial),
Iluminação Pública: Substituição de Poste de Madeira,Secretaria de Obras e Infraestrutura,Presencial,,Prefeitura,Obras e Infraestrutura,Serviço,Presencial,Não tem (Presencial),
Medição de Obras,Secretaria de Obras e Infraestrutura,Presencial,,Prefeitura,Obras e Infraestrutura,Serviço,Presencial,Não tem (Presencial),
Termos: Recebimento Definitivo de Obra,Secretaria de Obras e Infraestrutura,Presencial,,Prefeitura,Obras e Infraestrutura,Serviço,Presencial,Não tem (Presencial),
Termos: Recebimento Provisório de Obra,Secretaria de Obras e Infraestrutura,Presencial,,Prefeitura,Obras e Infraestrutura,Serviço,Presencial,Não tem (Presencial),
Concessão de Direito Real de Uso de Bens Públicos (Fechamento de Loteamento),Secretaria de Planejamento e Urbanismo,Presencial,,Prefeitura,Planejamento e Urbanismo,Serviço,Presencial,Não tem (Presencial),
Direito de Preempção,Secretaria de Planejamento e Urbanismo,Presencial,,Prefeitura,Planejamento e Urbanismo,Serviço,Presencial,Não tem (Presencial),
Impressão de Fotos Aerofotogrametria,Secretaria de Planejamento e Urbanismo,Presencial,,Prefeitura,Planejamento e Urbanismo,Serviço,Presencial,Não tem (Presencial),
2 ª Via de Caderneta de Vacinação,Secretaria de Saúde e Bem-Estar,Presencial,,Prefeitura,Saúde e Bem-Estar,Informação,Presencial,Não tem (Presencial),
Abertura ou Encerramento de Livros Técnicos Específicos,Secretaria de Saúde e Bem-Estar,Presencial,,Prefeitura,Saúde e Bem-Estar,Serviço,Presencial,Não tem (Presencial),
Agendamento de Consulta Médica,Secretaria de Saúde e Bem-Estar,Presencial,,Prefeitura,Saúde e Bem-Estar,Serviço,Presencial,Não tem (Presencial),
Animais Sinantrópicos,Secretaria de Saúde e Bem-Estar,Presencial,,Prefeitura,Saúde e Bem-Estar,Serviço,Presencial,Não tem (Presencial),
Apresentação de Balanço de Medicamentos,Secretaria de Saúde e Bem-Estar,Presencial,,Prefeitura,Saúde e Bem-Estar,Serviço,Presencial,Não tem (Presencial),
Aprovação de Laudo Técnico de Avaliação,Secretaria de Saúde e Bem-Estar,Presencial,,Prefeitura,Saúde e Bem-Estar,Serviço,Presencial,Não tem (Presencial),
Assunção de Responsabilidade Técnica,Secretaria de Saúde e Bem-Estar,Presencial,,Prefeitura,Saúde e Bem-Estar,Serviço,Presencial,Não tem (Presencial),
Atendimento de Pré-Natal,Secretaria de Saúde e Bem-Estar,Presencial,,Prefeitura,Saúde e Bem-Estar,Serviço,Presencial,Não tem (Presencial),
Atendimento de Urgência em Odontologia,Secretaria de Saúde e Bem-Estar,Presencial,,Prefeitura,Saúde e Bem-Estar,Serviço,Presencial,Não tem (Presencial),
Atendimento em Saúde Bucal,Secretaria de Saúde e Bem-Estar,Presencial,,Prefeitura,Saúde e Bem-Estar,Serviço,Presencial,Não tem (Presencial),
Atendimento em Saúde da Mulher,Secretaria de Saúde e Bem-Estar,Presencial,,Prefeitura,Saúde e Bem-Estar,Serviço,Presencial,Não tem (Presencial),
Atendimento Médico de Urgência e Emergência,Secretaria de Saúde e Bem-Estar,Presencial,,Prefeitura,Saúde e Bem-Estar,Serviço,Presencial,Não tem (Presencial),
Atendimento Nutricional,Secretaria de Saúde e Bem-Estar,Presencial,,Prefeitura,Saúde e Bem-Estar,Serviço,Presencial,Não tem (Presencial),
Atendimento Odontológico,Secretaria de Saúde e Bem-Estar,Presencial,,Prefeitura,Saúde e Bem-Estar,Serviço,Presencial,Não tem (Presencial),
Autorização de Exames de Alto Custo,Secretaria de Saúde e Bem-Estar,Presencial,,Prefeitura,Saúde e Bem-Estar,Serviço,Presencial,Não tem (Presencial),
Baixa de Responsabilidade Técnica,Secretaria de Saúde e Bem-Estar,Presencial,,Prefeitura,Saúde e Bem-Estar,Serviço,Presencial,Não tem (Presencial),
Banco de Leite Humano,Secretaria de Saúde e Bem-Estar,Presencial,,Prefeitura,Saúde e Bem-Estar,Informação,Presencial,Não tem (Presencial),
Cadastro Nacional de Estabelecimento de Saúde,Secretaria de Saúde e Bem-Estar,Presencial,,Prefeitura,Saúde e Bem-Estar,Serviço,Presencial,Não tem (Presencial),
Cadastro no programa Saúde da Família,Secretaria de Saúde e Bem-Estar,Presencial,,Prefeitura,Saúde e Bem-Estar,Serviço,Presencial,Não tem (Presencial),
Caderneta de Vacinação,Secretaria de Saúde e Bem-Estar,Presencial,,Prefeitura,Saúde e Bem-Estar,Informação,Presencial,Não tem (Presencial),
Cartão SIS 160,Secretaria de Saúde e Bem-Estar,Presencial,,Prefeitura,Saúde e Bem-Estar,Serviço,Presencial,Não tem (Presencial),
Cartão SUS,Secretaria de Saúde e Bem-Estar,Presencial,,Prefeitura,Saúde e Bem-Estar,Serviço,Presencial,Não tem (Presencial),
Certificado de Qualificação como Organização Social,Secretaria de Saúde e Bem-Estar,Presencial,,Prefeitura,Saúde e Bem-Estar,Serviço,Presencial,Não tem (Presencial),
Cópia de Prontuário Médico,Secretaria de Saúde e Bem-Estar,Presencial,,Prefeitura,Saúde e Bem-Estar,Serviço,Presencial,Não tem (Presencial),
Desinterdição de Estabelecimento e Equipamento,Secretaria de Saúde e Bem-Estar,Presencial,,Prefeitura,Saúde e Bem-Estar,Serviço,Presencial,Não tem (Presencial),
Exame de Papanicolau,Secretaria de Saúde e Bem-Estar,Presencial,,Prefeitura,Saúde e Bem-Estar,Serviço,Presencial,Não tem (Presencial),
Fornecimento de Insumos de Enfermagem e Medicamentos para Acamados,Secretaria de Saúde e Bem-Estar,Presencial,,Prefeitura,Saúde e Bem-Estar,Serviço,Presencial,Não tem (Presencial),
Infestação por carrapatos,Secretaria de Saúde e Bem-Estar,Presencial,,Prefeitura,Saúde e Bem-Estar,Serviço,Presencial,Não tem (Presencial),
Informações sobre Violência Sexual,Secretaria de Saúde e Bem-Estar,Presencial,,Prefeitura,Saúde e Bem-Estar,Informação,Presencial,Não tem (Presencial),
Insetos para identificação,Secretaria de Saúde e Bem-Estar,Presencial,,Prefeitura,Saúde e Bem-Estar,Serviço,Presencial,Não tem (Presencial),
Interposição de Defesa do Auto de Infração,Secretaria de Saúde e Bem-Estar,Presencial,,Prefeitura,Saúde e Bem-Estar,Serviço,Presencial,Não tem (Presencial),
Interposição de Recurso de Auto de Imposição de Penalidade,Secretaria de Saúde e Bem-Estar,Presencial,,Prefeitura,Saúde e Bem-Estar,Serviço,Presencial,Não tem (Presencial),
Licenciamento (Ambulante de Alimentação),Secretaria de Saúde e Bem-Estar,Presencial,,Prefeitura,Saúde e Bem-Estar,Serviço,Presencial,Não tem (Presencial),
Licenciamento (Atividades do Condicionamento Físico),Secretaria de Saúde e Bem-Estar,Presencial,,Prefeitura,Saúde e Bem-Estar,Serviço,Presencial,Não tem (Presencial),
